run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20230127-13:25:30-9136,runattr,,,configname,General,,,
General-0-20230127-13:25:30-9136,runattr,,,datetime,20230127-13:25:30,,,
General-0-20230127-13:25:30-9136,runattr,,,experiment,General,,,
General-0-20230127-13:25:30-9136,runattr,,,inifile,omnetpp.ini,,,
General-0-20230127-13:25:30-9136,runattr,,,iterationvars,,,,
General-0-20230127-13:25:30-9136,runattr,,,iterationvarsf,,,,
General-0-20230127-13:25:30-9136,runattr,,,measurement,,,,
General-0-20230127-13:25:30-9136,runattr,,,network,Tictoc,,,
General-0-20230127-13:25:30-9136,runattr,,,processid,9136,,,
General-0-20230127-13:25:30-9136,runattr,,,repetition,0,,,
General-0-20230127-13:25:30-9136,runattr,,,replication,#0,,,
General-0-20230127-13:25:30-9136,runattr,,,resultdir,results,,,
General-0-20230127-13:25:30-9136,runattr,,,runnumber,0,,,
General-0-20230127-13:25:30-9136,runattr,,,seedset,0,,,
General-0-20230127-13:25:30-9136,param,,,**.tic.sendInitialMessage,true,,,
General-0-20230127-13:25:30-9136,param,,,**.tic.sendInitialMessage,true,,,
